TimeStamp,ChainlinkAggregate,Chainlayer,Wetez,ztake,Mycelium Node,Inotel,Sync Node,Omniscience,Alpha Chain,SNZPool,Simply VC,LinkPool,01Node,DexTrac,Prophet,Staked,PlusSign,Anyblock,LinkForest,Fiews,Framework Ventures,Staking Facilities,Blocksize Capital,T-Systems,Easy 2 stake,Kytzu,Figment Networks,Newroad Network,stake.fish,Validation Capital,P2P.org,Infinity Stones,Coincap,BraveNewCoin,CryptoCompare,AlphaVantage,CoinGecko,CoinPaprika,CoinMarketCap,,,,,
1650222020,3030.80,3031.62,3029.94,3030.06,3030.06,3030.08,3032.74,3032.74,3033.01,3033.18,3033.29,3034.32,3035.27,3037.88,3030.61,3030.64,3030.65,3030.80,3031.83,3031.83,3031.87,3032.08,3032.74,3032.74,3030.24,3030.26,3030.27,3030.27,3030.28,3030.31,3030.41,3030.41,3036.98,3042.14,3029.89,3030.97,3033.48,3034.98,3031.39,,,,,
1650222920,3030.80,3031.62,3029.94,3030.06,3030.06,3030.08,3032.74,3032.74,3033.01,3033.18,3033.29,3034.32,3035.27,3037.88,3030.61,3030.64,3030.65,3030.80,3031.83,3031.83,3031.87,3032.08,3032.74,3032.74,3030.24,3030.26,3030.27,3030.27,3030.28,3030.31,3030.41,3030.41,3035.44,3040.91,3029.58,3029.54,3032.88,3032.71,3030.84,,,,,
1650223820,3030.80,3031.62,3029.94,3030.06,3030.06,3030.08,3032.74,3032.74,3033.01,3033.18,3033.29,3034.32,3035.27,3037.88,3030.61,3030.64,3030.65,3030.80,3031.83,3031.83,3031.87,3032.08,3032.74,3032.74,3030.24,3030.26,3030.27,3030.27,3030.28,3030.31,3030.41,3030.41,3036.22,3040.74,3030.67,3030.49,3043.83,3031.49,3035.57,,,,,
1650224718,3030.80,3031.62,3029.94,3030.06,3030.06,3030.08,3032.74,3032.74,3033.01,3033.18,3033.29,3034.32,3035.27,3037.88,3030.61,3030.64,3030.65,3030.80,3031.83,3031.83,3031.87,3032.08,3032.74,3032.74,3030.24,3030.26,3030.27,3030.27,3030.28,3030.31,3030.41,3030.41,3040.62,3044.41,3035.89,3035.28,3045.72,3035.23,3039.53,,,,,
1650225632,3055.95,3056.40,3049.41,3052.16,3055.08,3055.08,3055.95,3055.95,3055.95,3054.05,3054.79,3055.08,3055.08,3056.10,3056.10,3056.18,3056.25,3056.25,3055.08,3055.26,3055.58,3055.71,3055.79,3055.83,3056.35,3056.50,3056.50,3056.63,3056.76,3056.10,3057.48,3060.87,3056.23,3064.97,3054.54,3052.09,3063.77,3052.38,3057.33,,,,,
1650226519,3055.95,3056.40,3049.41,3052.16,3055.08,3055.08,3055.95,3055.95,3055.95,3054.05,3054.79,3055.08,3055.08,3056.10,3056.10,3056.18,3056.25,3056.25,3055.08,3055.26,3055.58,3055.71,3055.79,3055.83,3056.35,3056.50,3056.50,3056.63,3056.76,3056.10,3057.48,3060.87,3056.09,3061.55,3049.26,3047.52,3063.32,3051.85,3054.93,,,,,
1650227418,3055.95,3056.40,3049.41,3052.16,3055.08,3055.08,3055.95,3055.95,3055.95,3054.05,3054.79,3055.08,3055.08,3056.10,3056.10,3056.18,3056.25,3056.25,3055.08,3055.26,3055.58,3055.71,3055.79,3055.83,3056.35,3056.50,3056.50,3056.63,3056.76,3056.10,3057.48,3060.87,3055.99,3060.39,3050.44,3050.00,3052.25,3058.55,3050.36,,,,,
1650228318,3055.95,3056.40,3049.41,3052.16,3055.08,3055.08,3055.95,3055.95,3055.95,3054.05,3054.79,3055.08,3055.08,3056.10,3056.10,3056.18,3056.25,3056.25,3055.08,3055.26,3055.58,3055.71,3055.79,3055.83,3056.35,3056.50,3056.50,3056.63,3056.76,3056.10,3057.48,3060.87,3057.82,3063.16,3053.17,3051.91,3055.86,3062.82,3053.37,,,,,
1650229222,3046.86,3046.86,3046.77,3045.70,3046.11,3046.28,3046.28,3046.31,3046.39,3046.54,3046.82,3046.85,3046.86,3046.86,3046.86,3046.95,3046.98,3046.98,3046.98,3047.77,3047.78,3052.66,3052.95,3052.95,3046.54,3046.56,3046.72,3046.72,3047.10,3047.21,3047.41,3047.49,3052.14,3055.87,3047.43,3045.54,3059.87,3046.73,3051.26,,,,,
1650230124,3046.86,3046.86,3046.77,3045.70,3046.11,3046.28,3046.28,3046.31,3046.39,3046.54,3046.82,3046.85,3046.86,3046.86,3046.86,3046.95,3046.98,3046.98,3046.98,3047.77,3047.78,3052.66,3052.95,3052.95,3046.54,3046.56,3046.72,3046.72,3047.10,3047.21,3047.41,3047.49,3044.19,3051.41,3039.76,3039.32,3052.28,3042.02,3044.83,,,,,
